name,city,gender,profession,age,cgpa,placed
moriarity,,female,phd,28.0,5.94,1
moriarity,asgard,,bachelor,50.0,8.55,0
holmes,,female,masters,18.0,5.56,0
sam,,male,bachelor,25.0,8.57,1
sam,,male,bachelor,19.0,8.76,1
bobby,purgatory ,male,bachelor,20.0,7.68,0
,wakanda,male,,20.0,9.01,0
,wakanda,male,bachelor,20.0,8.31,0
moriarity,asgard,female,,19.0,7.2,0
castiel,,female,masters,,8.35,1
moriarity,asgard,male,bachelor,19.0,7.66,1
moriarity,purgatory ,male,bachelor,28.0,,1
sherlock,wakanda,male,bachelor,48.0,8.75,0
sam,wakanda,male,bachelor,22.0,9.47,1
sam,wakanda,male,bachelor,27.0,,0
moriarity,asgard,male,masters,21.0,8.56,0
moriarity,wakanda,male,masters,43.0,7.74,1
sam,asgard,,bachelor,29.0,7.69,0
,purgatory ,female,bachelor,30.0,7.79,1
watson,wakanda,male,bachelor,,8.32,0
dean,purgatory ,male,bachelor,28.0,9.14,1
holmes,wakanda,male,,29.0,8.66,0
sam,wakanda,male,bachelor,23.0,8.33,1
sam,gotham,female,bachelor,30.0,8.21,1
sam,wakanda,female,phd,42.0,8.36,1
dean,gotham,male,bachelor,26.0,5.6,1
moriarity,asgard,male,bachelor,18.0,8.46,1
sam,gotham,male,bachelor,44.0,9.3,1
,wakanda,male,phd,20.0,7.83,0
bobby,gotham,,bachelor,22.0,9.15,1
sam,wakanda,male,masters,21.0,8.42,1
moriarity,,male,,21.0,5.33,1
dean,,male,masters,46.0,,0
sam,gotham,male,,24.0,5.04,1
sam,asgard,,,,7.37,0
sam,purgatory ,female,bachelor,42.0,7.76,1
,wakanda,female,masters,46.0,4.04,0
sam,wakanda,female,,21.0,,1
sam,gotham,male,bachelor,,7.87,0
sam,gotham,male,phd,25.0,,0
watson,,male,masters,41.0,7.37,0
castiel,gotham,male,bachelor,19.0,8.03,1
sam,gotham,male,bachelor,29.0,8.92,1
,gotham,,bachelor,25.0,,1
,,male,bachelor,43.0,7.81,1
,gotham,male,bachelor,46.0,9.1,1
moriarity,wakanda,male,bachelor,30.0,9.4,0
holmes,asgard,male,bachelor,44.0,8.64,1
moriarity,gotham,male,masters,20.0,9.33,0
holmes,purgatory ,male,masters,19.0,5.35,0
moriarity,,male,bachelor,20.0,8.95,0
dean,wakanda,male,,30.0,8.27,0
sam,,male,masters,22.0,5.25,0
sam,,male,phd,28.0,,1
dean,purgatory ,male,phd,19.0,8.43,1
sam,wakanda,male,bachelor,29.0,8.13,1
moriarity,,female,masters,22.0,7.46,0
moriarity,purgatory ,female,bachelor,47.0,4.5,0
watson,gotham,male,bachelor,20.0,9.06,0
sam,,male,,50.0,8.12,1
moriarity,,male,bachelor,30.0,9.26,1
,wakanda,male,masters,30.0,8.24,1
moriarity,wakanda,male,masters,19.0,5.38,0
,wakanda,,phd,27.0,7.92,0
moriarity,,male,bachelor,43.0,7.93,1
sam,gotham,male,bachelor,44.0,7.03,1
sam,wakanda,male,bachelor,40.0,,1
sam,,male,phd,23.0,4.43,1
sherlock,gotham,male,bachelor,19.0,8.49,0
sam,,male,masters,21.0,,0
moriarity,gotham,male,bachelor,,4.5,0
sam,purgatory ,male,phd,26.0,4.58,1
moriarity,gotham,male,phd,,4.06,0
castiel,asgard,male,bachelor,22.0,7.41,0
sherlock,wakanda,male,phd,23.0,9.31,1
bobby,,male,masters,26.0,,1
bobby,asgard,male,bachelor,45.0,7.55,1
moriarity,asgard,male,bachelor,22.0,7.79,1
moriarity,,female,phd,41.0,7.68,1
dean,wakanda,male,,49.0,8.64,1
sam,gotham,male,,22.0,7.29,1
moriarity,wakanda,male,phd,25.0,7.72,0
bobby,wakanda,male,masters,,,1
sherlock,wakanda,male,bachelor,43.0,8.72,1
sam,,male,phd,29.0,7.19,0
castiel,asgard,male,masters,24.0,7.71,1
sherlock,asgard,male,,26.0,8.61,0
,,male,bachelor,19.0,7.35,0
moriarity,,male,bachelor,24.0,8.73,0
sam,wakanda,,bachelor,,8.76,1
watson,gotham,male,masters,21.0,9.06,0
sam,asgard,male,bachelor,19.0,7.82,1
moriarity,asgard,male,bachelor,19.0,7.43,0
dean,gotham,,masters,29.0,4.58,0
moriarity,wakanda,male,bachelor,21.0,8.69,1
,gotham,male,masters,23.0,,1
sam,purgatory ,male,bachelor,,,0
moriarity,gotham,male,bachelor,40.0,7.87,0
sherlock,asgard,,phd,18.0,8.61,0
,wakanda,male,bachelor,27.0,7.9,0
moriarity,,male,phd,18.0,8.78,0
sherlock,gotham,male,bachelor,23.0,8.3,1
sam,asgard,female,masters,24.0,4.84,1
holmes,purgatory ,female,bachelor,18.0,5.11,0
moriarity,wakanda,male,bachelor,30.0,8.17,0
holmes,purgatory ,male,bachelor,40.0,7.6,0
sam,,male,bachelor,,8.52,1
sam,wakanda,female,masters,46.0,7.76,1
sam,,male,bachelor,27.0,8.1,1
watson,purgatory ,female,masters,25.0,7.2,0
sam,asgard,female,,21.0,7.21,0
,purgatory ,male,phd,40.0,7.26,1
sam,asgard,male,bachelor,19.0,8.68,1
sam,wakanda,male,phd,22.0,7.66,1
sam,gotham,male,masters,27.0,9.36,0
moriarity,wakanda,male,masters,24.0,8.77,0
sherlock,wakanda,,masters,49.0,,0
moriarity,gotham,male,bachelor,30.0,,1
moriarity,wakanda,male,masters,43.0,7.78,1
moriarity,gotham,male,bachelor,18.0,7.14,0
sam,purgatory ,male,,30.0,8.01,0
watson,gotham,male,,28.0,9.27,1
holmes,wakanda,male,masters,20.0,4.12,1
dean,,male,bachelor,44.0,9.13,0
